12:32:48,392 INFO  [org.apache.activemq.artemis.integration.bootstrap] AMQ101000: Starting ActiveMQ Artemis Server
12:32:48,689 INFO  [org.apache.activemq.artemis.core.server] AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=./data/journal,bindingsDirectory=./data/bindings,largeMessagesDirectory=./data/large-messages,pagingDirectory=./data/paging)
12:32:48,757 INFO  [org.apache.activemq.artemis.core.server] AMQ221013: Using NIO Journal
12:32:48,827 INFO  [org.apache.activemq.artemis.core.server] AMQ221057: Global Max Size is being adjusted to 1/2 of the JVM max size (-Xmx). being defined as 1,073,741,824
12:32:48,866 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
12:32:48,867 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
12:32:48,868 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
12:32:48,869 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-mqtt-protocol]. Adding protocol support for: MQTT
12:32:48,869 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-openwire-protocol]. Adding protocol support for: OPENWIRE
12:32:48,870 INFO  [org.apache.activemq.artemis.core.server] AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
12:32:49,003 INFO  [org.apache.activemq.artemis.core.server] AMQ221034: Waiting indefinitely to obtain live lock
12:32:49,004 INFO  [org.apache.activemq.artemis.core.server] AMQ221035: Live Server Obtained live lock
12:32:49,910 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying queue DLQ
12:32:50,037 INFO  [org.apache.activemq.artemis.core.server] AMQ221003: Deploying queue ExpiryQueue
12:32:50,645 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61616 for protocols [CORE,MQTT,AMQP,STOMP,HORNETQ,OPENWIRE]
12:32:50,648 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5445 for protocols [HORNETQ,STOMP]
12:32:50,651 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:5672 for protocols [AMQP]
12:32:50,654 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:1883 for protocols [MQTT]
12:32:50,657 INFO  [org.apache.activemq.artemis.core.server] AMQ221020: Started EPOLL Acceptor at 0.0.0.0:61613 for protocols [STOMP]
12:32:50,722 INFO  [org.apache.activemq.artemis.core.server] AMQ221007: Server is now live
12:32:50,723 INFO  [org.apache.activemq.artemis.core.server] AMQ221001: Apache ActiveMQ Artemis Message Broker version 2.3.0 [0.0.0.0, nodeID=78170f42-bb34-11e7-ae74-1a5b7f1dabb6] 
12:32:51,593 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Initialized activemq-branding plugin
12:32:51,643 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Initialized artemis-plugin plugin
12:32:52,112 INFO  [io.hawt.system.ConfigManager] Configuration will be discovered via system properties
12:32:52,116 INFO  [io.hawt.jmx.JmxTreeWatcher] Welcome to hawtio 1.5.0 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-)
12:32:52,122 INFO  [io.hawt.jmx.UploadManager] Using file upload directory: /home/tom/Docker/soaBrokerImage/apache-artemis-2.3.0/tom/tmp/uploads
12:32:52,156 INFO  [io.hawt.web.AuthenticationFilter] Starting hawtio authentication filter, JAAS realm: "activemq" authorized role(s): "amq" role principal classes: "org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal"
12:32:52,217 INFO  [io.hawt.web.JolokiaConfiguredAgentServlet] Jolokia has not found any overriden configuration property passed at launch time; Default configuration values will be used.
12:32:52,269 INFO  [io.hawt.web.RBACRestrictor] Using MBean [hawtio:type=security,area=jmx,rank=0,name=HawtioDummyJMXSecurity] for role based access control
12:32:52,449 INFO  [io.hawt.web.ProxyServlet] Proxy whitelist: [localhost, 127.0.0.1]
12:32:53,018 INFO  [org.apache.activemq.artemis] AMQ241001: HTTP Server started at http://localhost:8161
12:32:53,019 INFO  [org.apache.activemq.artemis] AMQ241002: Artemis Jolokia REST API available at http://localhost:8161/jolokia
12:32:53,019 INFO  [org.apache.activemq.artemis] AMQ241004: Artemis Console available at http://localhost:8161/console
12:33:04,363 INFO  [io.hawt.web.keycloak.KeycloakServlet] Keycloak integration is disabled
12:33:08,084 INFO  [io.hawt.web.LoginServlet] hawtio login is using 1800 sec. HttpSession timeout
12:33:13,429 INFO  [io.hawt.web.AuthenticationFilter] Destroying hawtio authentication filter
12:33:13,480 INFO  [org.apache.activemq.hawtio.plugin.PluginContextListener] Destroyed artemis-plugin plugin
12:33:13,487 INFO  [org.apache.activemq.hawtio.branding.PluginContextListener] Destroyed activemq-branding plugin
12:33:13,504 INFO  [org.apache.activemq.artemis.core.server] AMQ221002: Apache ActiveMQ Artemis Message Broker version 2.3.0 [78170f42-bb34-11e7-ae74-1a5b7f1dabb6] stopped, uptime 25.023 seconds
